,Month,Price of Oil
0,2020-07-01,40.71
1,2020-06-01,38.31
2,2020-05-01,28.56
3,2020-04-01,16.55
4,2020-03-01,29.21
5,2020-02-01,50.54
6,2020-01-01,57.52
7,2019-12-01,59.88
8,2019-11-01,57.03
9,2019-10-01,53.96
10,2019-09-01,56.95
11,2019-08-01,54.81
12,2019-07-01,57.35
13,2019-06-01,54.66
14,2019-05-01,60.83
15,2019-04-01,63.86
16,2019-03-01,58.15
17,2019-02-01,54.95
18,2019-01-01,51.38
19,2018-12-01,49.52
20,2018-11-01,56.96
21,2018-10-01,70.75
22,2018-09-01,70.23
23,2018-08-01,68.06
24,2018-07-01,70.98
25,2018-06-01,67.87
26,2018-05-01,69.98
27,2018-04-01,66.25
28,2018-03-01,62.73
29,2018-02-01,62.23
30,2018-01-01,63.7
31,2017-12-01,57.88
32,2017-11-01,56.64
33,2017-10-01,51.58
34,2017-09-01,49.82
35,2017-08-01,48.04
36,2017-07-01,46.63
37,2017-06-01,45.18
38,2017-05-01,48.48
39,2017-04-01,51.06
40,2017-03-01,49.33
41,2017-02-01,53.47
42,2017-01-01,52.5
43,2016-12-01,51.97
44,2016-11-01,45.66
45,2016-10-01,49.78
46,2016-09-01,45.18
47,2016-08-01,44.72
48,2016-07-01,44.65
49,2016-06-01,48.76
50,2016-05-01,46.71
51,2016-04-01,40.75
52,2016-03-01,37.55
53,2016-02-01,30.32
54,2016-01-01,31.68
55,2015-12-01,37.19
56,2015-11-01,42.44
57,2015-10-01,46.22
58,2015-09-01,45.48
59,2015-08-01,42.87
60,2015-07-01,50.9
61,2015-06-01,59.82
62,2015-05-01,59.27
63,2015-04-01,54.45
64,2015-03-01,47.82
65,2015-02-01,50.58
66,2015-01-01,47.22
67,2014-12-01,59.29
68,2014-11-01,75.79
69,2014-10-01,84.4
70,2014-09-01,93.21
71,2014-08-01,96.54
72,2014-07-01,103.59
73,2014-06-01,105.79
74,2014-05-01,102.18
75,2014-04-01,102.07
76,2014-03-01,100.8
77,2014-02-01,100.82
78,2014-01-01,94.62
79,2013-12-01,97.63
80,2013-11-01,93.86
81,2013-10-01,100.54
82,2013-09-01,106.29
83,2013-08-01,106.57
84,2013-07-01,104.67
85,2013-06-01,95.77
86,2013-05-01,94.51
87,2013-04-01,92.02
88,2013-03-01,92.94
89,2013-02-01,95.31
90,2013-01-01,94.76
91,2012-12-01,87.86
92,2012-11-01,86.53
93,2012-10-01,89.49
94,2012-09-01,94.51
95,2012-08-01,94.13
96,2012-07-01,87.9
97,2012-06-01,82.3
98,2012-05-01,94.66
99,2012-04-01,103.32
100,2012-03-01,106.16
101,2012-02-01,102.2
102,2012-01-01,100.27
103,2011-12-01,98.56
104,2011-11-01,97.16
105,2011-10-01,86.32
106,2011-09-01,85.52
107,2011-08-01,86.33
108,2011-07-01,97.3
109,2011-06-01,96.26
110,2011-05-01,100.9
111,2011-04-01,109.53
112,2011-03-01,102.86
113,2011-02-01,88.58
114,2011-01-01,89.17
115,2010-12-01,89.15
116,2010-11-01,84.25
117,2010-10-01,81.89
118,2010-09-01,75.24
119,2010-08-01,76.6
120,2010-07-01,76.32
121,2010-06-01,75.34
122,2010-05-01,73.74
123,2010-04-01,84.29
124,2010-03-01,81.2
125,2010-02-01,76.39
126,2010-01-01,78.33
127,2009-12-01,74.47
128,2009-11-01,77.99
129,2009-10-01,75.72
130,2009-09-01,69.41
131,2009-08-01,71.05
132,2009-07-01,64.15
133,2009-06-01,69.64
134,2009-05-01,59.03
135,2009-04-01,49.65
136,2009-03-01,47.94
137,2009-02-01,39.09
138,2009-01-01,41.71
139,2008-12-01,41.12
140,2008-11-01,57.31
141,2008-10-01,76.61
142,2008-09-01,104.11
143,2008-08-01,116.67
144,2008-07-01,133.37
145,2008-06-01,133.88
146,2008-05-01,125.4
147,2008-04-01,112.58
148,2008-03-01,105.45
149,2008-02-01,95.39
150,2008-01-01,92.97
151,2007-12-01,91.69
152,2007-11-01,94.77
153,2007-10-01,85.8
154,2007-09-01,79.92
